brand,total,severe,serious,industry,first_year,last_year,severe_rate,peak_year,peak_count,peak_ratio,onset_year,onset_ratio,is_spike,watch_score
SUPER BETA PROSTATE,648,244,642,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,37.7,2016,299,9.1,2015.0,7.2,True,69.5
GREAT VALUE PEANUT BUTTER,38,7,8,Nuts/Edible Seed,2007,2016,18.4,2007,32,32.0,,0.0,True,68.5
GARLIC,57,22,52,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,38.6,2015,15,7.5,,0.0,True,68.1
SLOW FE BROWN (NCH) (FERROUS SULFATE) TABLET,33,10,33,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2014,30.3,2013,31,15.5,,0.0,True,68.0
IRON,148,58,131,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,39.2,2016,50,7.1,,0.0,True,67.6
OYSTERS,73,30,32,Fishery/Seafood Prod,2004,2015,41.1,2013,23,5.8,,0.0,True,66.9
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,119,35,118,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2015,29.4,2013,105,15.0,,0.0,True,66.8
HERBALIFE MULTIVITAMIN COMPLEX FORMULA 2,35,34,34,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2012,97.1,2012,14,3.5,,0.0,False,66.6
GLUTEN FREE CHEERIOS,65,25,48,Cereal Prep/Breakfast Food,2015,2016,38.5,2015,57,7.1,,0.0,True,66.6
MILK THISTLE,41,16,37,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,39.0,2016,13,6.5,,0.0,True,65.8
LIMBREL,21,12,20,Dietary Conv Food/Meal Replacements,2007,2016,57.1,2011,9,4.5,,0.0,False,65.7
TURMERIC,43,18,39,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2017,41.9,2016,18,5.1,,0.0,True,65.2
MULTIVITAMINS,115,38,97,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,33.0,2015,27,9.0,2011.0,4.3,True,64.9
GLUCOSAMINE CHONDROITIN,31,12,30,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,38.7,2016,6,6.0,,0.0,False,64.8
AUSTIN CHEESE CRACKERS WITH PEANUT BUTTER,25,4,4,Bakery Prod/Dough/Mix/Icing,2009,2009,16.0,2009,25,25.0,,0.0,True,64.6
PETER PAN CREAMY PEANUT BUTTER,332,32,37,Nuts/Edible Seed,2007,2017,9.6,2007,294,98.0,,0.0,True,64.6
PROTANDIM US,73,29,72,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,39.7,2013,32,5.3,,0.0,True,64.5
BIOTIN,224,43,168,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,19.2,2016,113,20.5,,0.0,True,64.5
VITAMINS,169,51,152,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,30.2,2016,58,10.5,,0.0,True,64.5
5 HOUR ENERGY,56,40,51,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2015,71.4,2010,15,3.8,,0.0,False,64.4
CHEERIOS,32,9,22,Cereal Prep/Breakfast Food,2009,2016,28.1,2015,25,12.5,,0.0,True,64.1
AUSTIN TOASTY CRACKERS WITH PEANUT BUTTER,25,4,4,Bakery Prod/Dough/Mix/Icing,2009,2011,16.0,2009,24,24.0,,0.0,True,64.1
MULTI-VITAMIN,78,29,64,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,37.2,2016,41,6.3,,0.0,True,64.0
VITAMIN D3,290,99,258,Vit/Min/Prot/Unconv Diet(Human/Animal),2006,2017,34.1,2016,89,7.4,,0.0,True,63.9
VITAMIN E,242,101,209,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,41.7,2016,55,5.0,,0.0,True,63.9
ZINC,111,50,102,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,45.0,2015,24,4.8,,0.0,True,63.7
PROBIOTICS,61,22,53,Vit/Min/Prot/Unconv Diet(Human/Animal),2006,2017,36.1,2016,28,7.0,,0.0,True,63.5
UNSPECIFIED VITAMINS,23,9,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,39.1,2016,13,5.2,,0.0,True,62.8
MAGNESIUM,303,101,265,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,33.3,2016,87,6.7,,0.0,True,61.4
GROUPER FISH,20,18,20,Fishery/Seafood Prod,2008,2009,90.0,2009,15,3.0,,0.0,False,61.3
BENEFIBER STICK PACKS (WHEAT DEXTRIN) POWDER,38,8,38,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2014,21.1,2013,35,11.7,,0.0,True,61.3
BELLYTRIM XP,24,18,24,Vit/Min/Prot/Unconv Diet(Human/Animal),2015,2017,75.0,2016,15,3.3,,0.0,False,61.2
D3,20,9,15,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,45.0,2016,9,4.5,,0.0,False,61.1
JOHNSON'S BABY POWDER,25,3,25,Cosmetics,2007,2015,12.0,2015,23,23.0,,0.0,True,61.1
TOTAL BODY FORMULA,23,3,13,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2009,13.0,2008,22,22.0,,0.0,True,61.1
